Valeurs
72.21
70.93
68.57
73.07
71.83
69.93
67.28
72.09
67.02
65.78
65.91
64.14
64.29
64.14
64.53
65.37
65.34
64.99
64.81
64.04
64.19
62.74
60.31
63.26
61.56
61.01
61.71
59.19
59.86
56.31
59.93
57.85
58.09
57.59
60.08
54.98
56.26
58.76
54.63
55.23
54.44
56.03
52.85
54.63
54.17
51.46
52.28
54.25
49.81
48.56
50.99
49.33
50.26
51.71
50.97
50.68
51.19
52.68
52.08
55.38
52.47
49.13
48.88
48.52
48.4
47.57
46.47
47.01
46.88
46.76
45.77
48.12
47.42
51.2
47.47
49.34
47.21
45.18
47.18
45.53
46.38
46.83
45.21
44.78
45.45
47.14
46.06
44.95
43.88
43.0
44.22
40.53
42.23
42.49
42.52
42.78
43.71
45.55
42.35
41.49
42.82
43.72
42.81
44.07
38.45
42.35
44.83
41.5
41.19
41.33
41.81
42.82
42.8
41.38
40.31
41.86
39.95
39.61
40.87
39.61
35.79
35.69
